"Name of Satellite, Alternate Names","Current Official Name of Satellite","Country/Org of UN Registry","Country of Operator/Owner",Operator/Owner,Users,Purpose,"Detailed Purpose","Class of Orbit","Type of Orbit","Longitude of GEO (degrees)","Perigee (km)","Apogee (km)",Eccentricity,"Inclination (degrees)","Period (minutes)","Launch Mass (kg.)","Dry Mass (kg.)","Power (watts)","Date of Launch","Expected Lifetime (yrs.)",Contractor,"Country of Contractor","Launch Site","Launch Vehicle","COSPAR Number","NORAD Number",Comments
Beijing-3,Beijing-3,"NR (1/22)","China ","21st Century Aerospace Technology (21AT)",Commercial,"Earth Observation","Optical Imaging",LEO,Sun-Synchronous,0,487,502,0.0010925777551169058,97.5,94.7,,,,2021/06/11,,"Chinese Academy of Space Technology (CASC)",China,"Taiyuan Launch Center","Long March 2D",2021-050A,48840,"First of this company's satellites to be built in China."
"BeijingGalaxy-1 (Beijing 1 [Tsinghua], Tsinghau-2, China DMC+4)",BeijinGalaxy-1,China,China,"Beijing Landview Mapping Information Technology Co. Ltd (BLMIT)",Commercial,"Earth Observation","Optical Imaging",LEO,Sun-Synchronous,0,681,703,0.001557632398753894,97.9,98.6,166,155,50,2005/10/27,7,"Tsinghua University/University of Surrey",China/UK,"Plesetsk Cosmodrome","Kosmos 3M",2005-043A,28890,"Earth observation for Disaster Monitoring Constellation (DMC); also research."
Belintersat-1,Belintersat-1,Belarus,Belarus,Belintersat,Government,Communications,,GEO,,51.5,35779,35792,0.00015419103082634533,0.46,1436.06,5223,,,2016/01/15,15,"China Academy of Space Technology/Thales Alenia Space",China/France,"Xichang Satellite Launch Center","Long March 3B",2016-001A,41238,"Belarus' first communications satellite - 10 transponders reserved, 2 for Belarus' government, and 8 for Chinese companies. Will market remaining capacity in Africa, Asia, Europe."
"Bird 2 (Bispectral InfraRed Detector 2)","Bispectral InfraRed Detector 2 (Bird 2)",Germany,Germany,"Institute of Space Sensor Technology and Planetary Exploration",Government/Civil,"Earth Observation/Technology Development","Optical Imaging",LEO,Sun-Synchronous,0,500,521,0.001526051885764116,97.9,94.8,92,77,120,2001/10/22,1.5,"Deutsches Zentrum für Luft- und Raumfahrt",Germany,"Satish Dhawan Space Centre","PSLV C3",2001-049C,26959,"Forest fire recognition by small satellites."
"BIROS (Bispectral Infrared Optical System)",BIROS,Germany,Germany,"German Aerospace Center (DLR)",Government,"Earth Observation","Optical Imaging",LEO,Sun-Synchronous,0,500,517,0.001235734535145744,97.5,94.7,130,,,2016/06/22,,"German Aerospace Center (DLR)",Germany,"Satish Dhawan Space Centre","PSLV XL",2016-040F,41604,"Forest Fire recognition. Carries BeeSat 4 to be ejected later."
"BisonSat (Nwist Qwiqway)",BisonSat,NR,USA,"Salish Kootenai College",Civil,"Earth Observation/Technology Development","Optical Imaging",LEO,"Non-Polar Inclined",0,497,801,0.021655506482404902,64.78,97.7,1,,,2015/10/08,,"Salish Kootenai College",USA,"Cape Canaveral","Atlas 5",2015-058E,40968,"Mainly a training exercise for students with earth observation and cloud measurement capability."
"BKA 2 (BelKA 2)","BKA 2",Belarus,Belarus,"National Academy of Sciences",Government,"Earth Observation","Optical Imaging",LEO,Sun-Synchronous,0,503,507,0.0002909090909090909,97.5,94.7,400,110,300,2012/07/22,5,"NPO VNIIEM",Russia,"Baikonur Cosmodrome",Soyuz-Fregat,2012-039B,38708,"Analog of Canopus-B. Supplies information to various government agencies."
"BlackSky Global 1","BlackSky Global 1",NR,USA,"BlackSky Global",Commercial,"Earth Observation","Optical Imaging",LEO,Sun-Synchronous,0,484,500,0.0011658408627222385,97.5,94.7,56,,,2018/11/29,,"Spaceflight Industries",USA,"Satish Dhawan Space Centre",PSLV,2018-096M,43730,"Follow-up to pathfinder."
"BlackSky Global 14","BlackSky Global 14","NR (1/22)",USA,"BlackSky Global",Commercial,"Earth Observation","Optical Imaging",LEO,"Non-Polar Inclined",0,428,439,0.0008084074373484236,42,93,55,,,2021/11/18,,LeoStella,"USA/Thales Alenia Space","Rocket Lab Launch Complex 1",Electron,2021-106A,49469,
"BlackSky Global 15","BlackSky Global 15","NR (1/22)",USA,"BlackSky Global",Commercial,"Earth Observation","Optical Imaging",LEO,"Non-Polar Inclined",0,426,438,0.0008820935019112026,42,93,55,,,2021/11/18,,LeoStella,"USA/Thales Alenia Space","Rocket Lab Launch Complex 1",Electron,2021-106B,49470,
"BlackSky Global 16","BlackSky Global 16","NR (1/22)",USA,"BlackSky Global",Commercial,"Earth Observation","Optical Imaging",LEO,"Non-Polar Inclined",0,430,439,0.0006613270629730326,42,93,55,,,2021/12/09,,LeoStella,"USA/Thales Alenia Space","Rocket Lab Launch Complex 1",Electron,2021-120B,49950,
"BlackSky Global 17","BlackSky Global 17","NR (1/22)",USA,"BlackSky Global",Commercial,"Earth Observation","Optical Imaging",LEO,"Non-Polar Inclined",0,433,440,0.0005142143539263939,42,93,55,,,2021/12/09,,LeoStella,"USA/Thales Alenia Space","Rocket Lab Launch Complex 1",Electron,2021-120A,49949,
"BlackSky Global 18","BlackSky Global 18","NR (4/22)",USA,"BlackSky Global",Commercial,"Earth Observation","Optical Imaging",LEO,"Non-Polar Inclined",0,428,440,0.0008818342151675485,53,95,55,50,,2022/04/02,,LeoStella,"USA/Thales Alenia Space","Rocket Lab Launch Complex 1",Electron,2022-034B,52196,
"BlackSky Global 2","BlackSky Global 2",NR,USA,"BlackSky Global",Commercial,"Earth Observation","Optical Imaging",LEO,Sun-Synchronous,0,577,591,0.0010066148979004888,97.7,96.3,55,,,2018/12/03,,"Spaceflight Industries",USA,"Vandenberg AFB","Falcon 9",2018-099BG,43812,"Follow-up to pathfinder."
"BlackSky Global 20","BlackSky Global 20","NR (4/22)",USA,"BlackSky Global",Commercial,"Earth Observation","Optical Imaging",LEO,"Non-Polar Inclined",0,426,439,0.0009555310547592797,53,95,55,50,,2022/04/02,,LeoStella,"USA/Thales Alenia Space","Rocket Lab Launch Complex 1",Electron,2022-034C,52197,
"BlackSky Global 3","BlackSky Global 3",NR,USA,"BlackSky Global",Commercial,"Earth Observation","Optical Imaging",LEO,"Non-Polar Inclined",0,450,461,0.0008058017727639,45.1,93.7,56,,,2019/06/29,,"Spaceflight Industries",USA,"Rocket Lab Launch Complex 1",Electron,2019-037C,44367,"Third of a planned 60-satellite constellation."
"BlackSky Global 4","BlackSky Global 4",USA,USA,"BlackSky Global",Commercial,"Earth Observation","Optical Imaging",LEO,"Non-Polar Inclined",0,538,549,0.0007955449482895784,45.01,95.5,56,,,2019/08/19,,"Spaceflight Industries",USA,"Rocket Lab Launch Complex 1",Electron,2019-054E,44499,
"BlackSky Global 7","BlackSky Global 7","NR (1/22)",USA,"BlackSky Global",Commercial,"Earth Observation","Optical Imaging",LEO,"Non-Polar Inclined",0,400,410,0.0007380073800738007,45.01,95.5,56,,,2020/08/07,,LeoStella,"USA/Thales Alenia Space","Cape Canaveral","Falcon 9",2020-055BP,46088,
"BlackSky Global 8","BlackSky Global 8","NR (1/22)",USA,"BlackSky Global",Commercial,"Earth Observation","Optical Imaging",LEO,"Non-Polar Inclined",0,400,410,0.0007380073800738007,45.01,95.5,56,,,2020/08/07,,LeoStella,"USA/Thales Alenia Space","Cape Canaveral","Falcon 9",2020-055BQ,46089,
"BlackSky Global 9","BlackSky Global 9","NR (1/22)",USA,"BlackSky Global",Commercial,"Earth Observation","Optical Imaging",LEO,"Non-Polar Inclined",0,448,460,0.0008792497069167644,45,93.7,56,,,2021/03/22,,LeoStella,"USA/Thales Alenia Space","Rocket Lab Launch Complex 1",Electron,2021-023G,47971,
"BlackSky Pathfinder 1","BlackSky Pathfinder 1",USA,USA,"BlackSky Global",Commercial,"Earth Observation","Optical Imaging",LEO,Sun-Synchronous,0,661,701,0.002836477095447454,98.2,98.3,44,,,2016/09/26,3,"Spaceflight Industries",USA,"Satish Dhawan Space Centre",PSLV,2016-059E,41787,"First of two testbeds for a 60-satellite earth-observing constellation."
"Blagovest-11L (Cosmos 2520)","Cosmos 2520",Russia,Russia,"Ministry of Defense",Military/Commercial,Communications,,GEO,,45,35781,35803,0.0002608984393529719,0,1436,3000,,,2017/08/16,15,"ISS Reshetnev",Russia,"Baikonur Cosmodrome",Proton,2017-046A,42907,"First military/commercial satellite totally designed and built by ISS Reshetnev."
"Blagovest-12L (Cosmos 2526)","Cosmos 2526",Russia,Russia,"Ministry of Defense",Military/Commercial,Communications,,GEO,,128,35779,35794,0.0001779085075848327,0,1436.09,3000,,,2018/04/18,15,"ISS Reshetnev",Russia,"Baikonur Cosmodrome",Proton,2018-037A,43432,
"Blagovest-13L (Cosmos 2533)","Cosmos 2533",Russia,Russia,"Ministry of Defense",Military/Commercial,Communications,,GEO,,70,35780,35792,0.00014232849416453175,0,1436.08,3000,,,2018/12/20,15,"ISS Reshetnev",Russia,"Baikonur Cosmodrome",Proton,2018-107A,43867,
"Blagovest-14L (Cosmos 2539)","Cosmos 2539",Russia,Russia,"Ministry of Defense",Military/Commercial,Communications,,GEO,,55,35599,35829,0.0027326299781389603,0,1436,3000,,,2019/08/05,15,"ISS Reshetnev",Russia,"Baikonur Cosmodrome",Proton,2019-048A,44457,
"Bluewalker 1","Bluewalker 1",Lithuania,Lithuania,NanoAvionics,Commercial,"Technology Development",,LEO,Sun-Synchronous,0,435,519,0.006134073316781072,97.5,94.1,10,,,2019/04/01,,NanoAvionics,Lithuania,"Satish Dhawan Space Centre",PSLV,2019-018AD,44105,"Will test unspecified ""patented technologies"" in space for AST & Science of Texas."
"Brazilsat B-4 (Brasilsat B-4)","Brazilsat B-4",Brazil,Brazil,"Embratel Star One",Commercial,Communications,,GEO,,-84.03,35772,35800,0.00033209981971724073,0.07,1436.09,2495,1050,"1,800 (BOL)",2000/08/17,12,"Boeing Satellite Systems",USA,"Guiana Space Center","Ariane 44LP",2000-046A,26469,"28 C-band; voice and video communications to all of South America."
Brik-II,Brik-II,"NR (9/21)",Netherlands,"Ministry of Defense","Earth Observation","Signals Intelligence",,LEO,"Non-Polar Inclined",0,495,521,0.0018900843268391974,60.7,94.5,10,,,2021/06/30,,"Solutions in Space",Netherlands,"Virgin Orbit",LauncherOne,2021-058F,48876,"Dutch military's first satellite. Demonstrate that small satellites like BRIK 2 can support information and communications applications for the military."
"BRIO ",BRIO,NR,USA,"SpaceQuest, Ltd.",Commercial,"Technology Development",,LEO,Sun-Synchronous,0,574,591,0.001222581805106077,97.7,96.3,4,,,2018/12/03,,SpaceQuest,USA,"Vandenberg AFB","Falcon 9",2018-099BH,43813,"Built to test Myriota's IoT network advances."
BRISat,BRISat,Indonesia,Indonesia,"Bank Rakyat Indonesia (BRI)",Commercial,Communications,,GEO,,150.5,35702,35876,0.0020636163096847647,0.07,1436.2,3540,,,2016/06/19,15,"Space Systems/Loral",USA,"Guiana Space Center","Ariane 5 ECA",2016-039A,41591,"First satellite owned and operated by a bank. Will expand secure banking communications to almost 60 million customers across the Indonesia archipelago."
"BRITE-CA-1 (BRITE Toronto)",BRITE-CA-1,NR,Canada,"University of Toronto, Institute for Aerospace Studies",Civil,"Space Science",,LEO,Sun-Synchronous,0,613,739,0.008941243258586432,97.97,98.27,10,,,2014/06/19,,"University of Toronto, Institute for Aerospace Studies",Canada,"Dombarovsky Air Base",Dnepr,2014-033L,40020,"Canadian contribution to the BRITE (Bright Target Explorer) mission, developedby a consoritum of Canadian, Austrian and Polish institutes. It will study the brightest stars in the Milky Way galaxy."
"BRITE-PL-2 (BRIght-star Target Explorer - Poland, Hevelius)",BRITE-PL-2,NR,Multinational,"BRITE Consortium",Government,"Space Science",,LEO,Sun-Synchronous,0,610,633,0.0016448544661374527,98.02,97.1,10,,,2014/08/19,2,"Space Research Center, Polish Academy of Sciences",Poland,"Taiyuan Launch Center","Long March 2B",2014-049B,40119,"Second Polish contribute to the BRITE mission."
BRO-1,BRO-1,China,France,UnseenLabs,Commercial,"Earth Observation","Maritime Surveillance",LEO,"Non-Polar Inclined",0,536,550,0.0010125849848112252,45.01,95.5,8,,,2019/08/19,,"GomSpace ApS",Denmark,"Rocket Lab Launch Complex 1",Electron,2018-054A,44495,"Maritime surveillance by spectrum monitoring."
BRO-4,BRO-4,"NR (9/21)",France,UnseenLabs,Commercial,"Earth Observation","Maritime Surveillance",LEO,Sun-Synchronous,0,520,563,0.0031107574332634017,97.6,95.5,8,,,2021/08/17,,"GomSpace ApS",Denmark,"Guiana Space Center",Vega,2021-073A,49066,"Maritime surveillance by spectrum monitoring."
BRO-7,BRO-7,"NR (4/22)",France,UnseenLabs,Commercial,"Earth Observation","Maritime Surveillance",LEO,Sun-Synchronous,0,497,509,0.0008729812309035355,97.4,95.4,10,,,2022/04/01,,UnseenLabs,France,"Cape Canaveral","Falcon 9",2022-033T,52174,"Maritime surveillance by spectrum monitoring."
BSAT-3A,BSAT-3A,Japan,Japan,"Broadcasting Satellite System Corp.",Commercial,Communications,,GEO,,109.91,35778,35794,0.000189771325552709,0.03,1436.1,1980,,,2007/08/14,13,"Lockheed Martin Commercial Space Systems",USA,"Guiana Space Center","Ariane 5 ECA",2007-036B,32019,"Twelve 130W Ku-band transponders; HD TV."
BSAT-3B,BSAT-3B,Japan,Japan,"Broadcasting Satellite System Corp.",Commercial,Communications,,GEO,,110,33066,35725,0.03261336178876746,0.07,1365.61,2060,975,,2010/10/28,15,"Lockheed Martin Commercial Space Systems",USA,"Guiana Space Center","Ariane 5 ECA",2010-056B,37207,"Broadcast 130W Ku-band transponders."
"BSAT-3C/JCSat 110-R","BSAT-3C/JCSat 110-R",Japan,Japan,"Broadcasting Satellite System Corp./Sky Perfect JSAT Corporation",Commercial,Communications,,GEO,,110,35784,35787,3.558254557531046E-05,0.05,1436.04,2910,,,2011/08/06,15,"Lockheed Martin Commercial Space Systems",USA,"Guiana Space Center","Ariane 5 ECA",2011-041B,37776,"Co-owned by two companies."
BSAT-4A,BSAT-4A,Japan,Japan,"Broadcasting Satellite System Corp.",Commercial,Communications,,GEO,,110,35719,35725,7.127245082200893E-05,0.02,1432.7,3520,,,2017/09/29,15,"Space Systems/Loral",USA,"Guiana Space Center","Ariane 5",2017-059B,42951,"24 Ku-band transponders. Will provide HD, 4K and 8K Ultra HD television broadcasts over Japan."
BSAT-4B,BSAT-4B,Japan,Japan,"Broadcasting Satellite System Corp.",Commercial,Communications,,GEO,,110,35789,35798,0.00010672738268881852,0.01,1436.1,3520,,,2020/08/15,15,"Maxar Technologies",USA,"Guiana Space Center","Ariane 5",2020-056A,46112,"Will be used initially as backup for the Olympic Games."
"Buccaneer RMM","Buccaneer RMM",Australia,Australia,"Defence Science and Technology Group/University of New South Wales",Military/Civil,"Technology Development",,LEO,,0,459,819,0.025681266942502497,97.6,97.4,4,,,2017/11/18,5,"Defence Science and Technology Group/University of New South Wales",Australia,"Vandenberg AFB","Delta 2",2017-073B,43014,"Calibrate over-the-horizon radars used by the Australian military and put Australia back into space."
Bufeng-1A,Bufeng-1A,NR,China,"China Academy of Space Technology (CAST)",Government,"Earth Observation",Meteorology,LEO,"Non-Polar Inclined",0,555,575,0.0014419610670511895,45,96,,,,2019/06/05,,"China Academy of Space Technology (CAST)",China,"Yellow Sea Launch Platform","Long March 11",2019-032C,44312,"Measure wind speeds over the ocean."
Bufeng-1B,Bufeng-1B,NR,China,"China Academy of Space Technology (CAST)",Government,"Earth Observation",Meteorology,LEO,"Non-Polar Inclined",0,554,576,0.0015861571737563085,45,96,,,,2019/06/05,,"China Academy of Space Technology (CAST)",China,"Yellow Sea Launch Platform","Long March 11",2019-032E,44314,
"Bugsat-1 (Tita)",Bugsat-1,NR,Argentina,"Satellogic S.A.",Commercial,"Technology Development",,LEO,Sun-Synchronous,0,570,617,0.003374739714224169,97.99,96.55,25,,,2014/06/19,,Satellogic,Argentina,"Dombarovsky Air Base",Dnepr,2014-033E,40014,"Technological demonstration of a platform of small satellite for Earth observation that the company plans to put into orbit to provide a commercial service at a global level. "
BulgariaSat-1,BulgariaSat-1,NR,Bulgaria,Bulsatcom,Commercial,Communications,,GEO,,1.9,35774,35797,0.00027279951607738016,0,1436,3669,,,2017/06/23,15,"Space Systems/Loral",USA,"Cape Canaveral","Falcon 9",2017-038A,42801,"Bulgaria's first communications satellite."
"CACTUS-1 (Coordinated Applied Capitol Technology University Satellite 1)",CACTUS-1,"NR (1/22)",USA,"Capital Technology University",Government/Civil,"Technology Development",,LEO,"Non-Polar Inclined",0,493,514,0.0015276060231323198,60.7,94.7,4,,,2021/01/17,,,USA,"FANTM-RAiL [Xtenti]",LauncherOne,2021-002M,47320,"Primary payload, TrapSat, is tackling the issue of space debris by using aerogel to capture and profile orbiting microdebris. "
"Calipso (Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observation)",Calipso,France,France/USA,"Centre National d'Etudes Spatiales (CNES)/NASA",Government,"Earth Science",,LEO,Sun-Synchronous,0,702,703,7.069635913750442E-05,98.2,98.8,587,,550,2006/04/28,3,"Alcatel Alenia Space",France,"Vandenberg AFB","Delta 2",2006-016B,29108,
"CanX-2 (Canadian Advanced Nanospace experiment)",CanX-2,Canada,Canada,"University of Toronto, Institute for Aerospace Studies",Government/Civil,"Technology Development",,LEO,Sun-Synchronous,0,609,629,0.0014308198597796538,97.8,97.1,7,,,2008/04/28,,"University of Toronto Institute for Aerospace Studies",Canada,"Satish Dhawan Space Centre","PSLV C9",2008-021H,32790,"Will downlink telemetry."
CanX-4,CanX-4,NR,Canada,"University of Toronto, Institute for Aerospace Studies",Government/Civil,"Technology Development",,LEO,Sun-Synchronous,0,642,659,0.0012107399757852004,97.74,98.26,15,,,2014/06/30,,"University of Toronto Institute for Aerospace Studies",Canada,"Satish Dhawan Space Centre",PSLV-CA,2014-034C,40055,
CanX-5,CanX-5,NR,Canada,"University of Toronto, Institute for Aerospace Studies",Government/Civil,"Technology Development",,LEO,Sun-Synchronous,0,643,656,0.0009259918797635159,98.26,97.72,15,,,2014/06/30,,"University of Toronto Institute for Aerospace Studies",Canada,"Satish Dhawan Space Centre",PSLV-CA,2014-034D,40056,"Demonstrate formation flying by a pair of nanosatellites"
CanX-7,CanX-7,Canada,Canada,"University of Toronto, Institute for Aerospace Studies",Government/Civil,"Technology Development",,LEO,Sun-Synchronous,0,661,701,0.002836477095447454,98.2,98.3,15,,,2016/09/26,,"University of Toronto Institute for Aerospace Studies",Canada,"Satish Dhawan Space Centre",PSLV,2016-059F,41788,"Technology development mission validating a deorbit drag sail."
"CAPE-3 (Cajun Advanced Picosatellite Experiment-3)",CAPE-3,USA,USA,"University of Louisiana at Lafayette",Civil,"Technology Development",,LEO,"Non-Polar Inclined",0,493,517,0.0017454545454545455,60.68,94.7,1,,,2021/01/17,,"University of Louisiana at Lafayette",USA,"FANTM-RAiL [Xtenti]",LauncherOne,2021-002A,47309,"Will carry SmartPhone Cubesat Classroom"
"Capella-1 (Denali)",Capella-1,NR,USA,"Capella Space",Commercial,"Earth Observation","Radar Imaging (SAR)",LEO,Sun-Synchronous,0,573,591,0.001294591484464902,97.7,96.3,37,,,2018/12/03,,"Capella Space",USA,"Vandenberg AFB","Falcon 9",2018-099AK,43791,"First of a planned 30-satellite constellation using radar imaging. Pathfinder."
"Capella-2 (Sequoia)",Capella-2,USA,USA,"Capella Space",Commercial,"Earth Observation","Radar Imaging (SAR)",LEO,"Non-Polar Inclined",0,535,550,0.00108499095840868,45,95.4,107,,,2020/08/31,,"Capella Space",USA,"Rocket Lab Launch Complex 1",Electron,2020-060B,46269,
"Capella-3 (Whitney 1)",Capella-3,USA,USA,"Capella Space",Commercial,"Earth Observation","Radar Imaging (SAR)",LEO,Sun-Synchronous,0,514,534,0.001450536698578474,97.5,95.1,107,,,2021/01/24,,"Capella Space",USA,"Cape Canaveral","Falcon 9",2021-006CE,47489,
"Capella-4 (Whitney 2)",Capella-4,USA,USA,"Capella Space",Commercial,"Earth Observation","Radar Imaging (SAR)",LEO,Sun-Synchronous,0,514,534,0.001450536698578474,97.5,95.1,107,,,2021/01/24,,"Capella Space",USA,"Cape Canaveral","Falcon 9",2021-006BW,47481,
"Capella-5 (Whitney 3)",Capella-5,USA,USA,"Capella Space",Commercial,"Earth Observation","Radar Imaging (SAR)",LEO,Sun-Synchronous,0,521,536,0.0010871928680147858,97.5,95.1,107,,,2021/06/30,,"Capella Space",USA,"Cape Canaveral","Falcon 9",2021-059AL,48913,
"Capella-6 (Whitney 4)",Capella-6,NR,USA,"Capella Space",Commercial,"Earth Observation","Radar Imaging (SAR)",LEO,"Non-Polar Inclined",0,566,587,0.0015115525804361909,53,95.6,100,,,2021/05/06,,"Capella Space",USA,"Cape Canaveral","Falcon 9",2021-041BE,48605,
"Capella-7 (Whitney 5)",Capella-7,"NR (4/22)",USA,"Capella Space",Commercial,"Earth Observation","Radar Imaging (SAR)",LEO,Sun-Synchronous,0,520,535,0.0010873504893077202,97.5,94.7,112,,,2022/01/13,,"Capella Space",USA,"Cape Canaveral","Falcon 9",2022-002CS,51072,
"Capella-8 (Whitney 6)",Capella-8,"NR (4/22)",USA,"Capella Space",Commercial,"Earth Observation","Radar Imaging (SAR)",LEO,Sun-Synchronous,0,521,535,0.001014786894752102,97.5,95.7,112,,,2022/01/13,,"Capella Space",USA,"Cape Canaveral","Falcon 9",2022-002CR,51071,
"CartoSat 1 (IRS P5)","CartoSat 1",India,India,"Indian Space Research Organization (ISRO)",Government,"Earth Observation","Optical Imaging",LEO,Sun-Synchronous,0,618,619,7.154611146884167E-05,97.9,97.1,1560,1450,1100,2005/05/05,6,"Indian Space Research Organization (ISRO)",India,"Satish Dhawan Space Centre","PSLV C6",2005-017A,28649,"Remote sensing and mapping, land use, forest cover, river flow assessments."
"CartoSat 2 (IRS P7, CartoSat 2AT)","CartoSat 2",India,India,"Indian Space Research Organization (ISRO)",Government,"Earth Observation","Optical Imaging",LEO,Sun-Synchronous,0,632,635,0.00021417862497322766,97,97.4,680,,,2007/01/10,5,"Indian Space Research Organization (ISRO)",India,"Satish Dhawan Space Centre","PSLV C7",2007-001B,29710,"Remote sensing and mapping; panchromatic images at one-meter resolution to be used for civil planning ""and other cartographic needs."""
"CartoSat 2A","CartoSat 2A",India,India,"Indian Space Research Organization (ISRO)",Military,"Earth Observation","Optical Imaging",LEO,Sun-Synchronous,0,624,643,0.0013564646248304419,97.9,97.4,680,,,2008/04/28,5,"Indian Space Research Organization (ISRO)",India,"Satish Dhawan Space Centre","PSLV C9",2008-021A,32783,"Military version of CartoSat 2; dedicated satellite for the Indian armed forces."
"CartoSat 2B","CartoSat 2B",India,India,"Indian Space Research Organization (ISRO)",Government,"Earth Observation","Optical Imaging",LEO,Sun-Synchronous,0,622,645,0.0016420361247947454,97.9,97.4,694,,,2010/07/12,5,"Indian Space Research Organization (ISRO)",India,"Satish Dhawan Space Centre",PSLV,2010-035A,36795,"Resource mapping, urban planning, transportation studies, water monitoring, and crop inventories."
"CartoSat 2C","CartoSat 2C",India,India,"Indian Space Research Organization (ISRO)",Government,"Earth Observation","Optical Imaging",LEO,Sun-Synchronous,0,501,519,0.001308139534883721,97.5,94.8,727,,,2016/06/22,5,"Indian Space Research Organization (ISRO)",India,"Satish Dhawan Space Centre","PSLV XL",2016-040A,41599,"Lower orbit for military application."
"CartoSat 2D","CartoSat 2D",India,India,"Indian Space Research Organization (ISRO)",Government,"Earth Observation","Optical Imaging",LEO,Sun-Synchronous,0,491,508,0.0012373535191789796,97.5,94.8,714,,,2017/02/15,5,"Indian Space Research Organization (ISRO)",India,"Satish Dhawan Space Centre","PSLV XL",2017-008A,41948,"Resource mapping, urban planning, transportation studies, water monitoring, and crop inventories."
"CartoSat 2E","CartoSat 2E",India,India,"Indian Space Research Organization (ISRO)",Government,"Earth Observation","Optical Imaging",LEO,Sun-Synchronous,0,334,347,0.0009686312495343119,96.92,91.34,712,,,2017/06/22,5,"Indian Space Research Organization (ISRO)",India,"Satish Dhawan Space Centre",PSLV,2017-036C,42767,"Resource mapping, urban planning, transportation studies, water monitoring, and crop inventories."
"CartoSat 2F","CartoSat 2F",India,India,"Indian Space Research Organization (ISRO)",Government,"Earth Observation","Optical Imaging",LEO,Sun-Synchronous,0,495,510,0.0010913059294288831,97.5,94.6,712,,,2018/01/11,5,"Indian Space Research Organization (ISRO)",India,"Satish Dhawan Space Centre",PSLV,2018-004A,43111,"Resource mapping, urban planning, transportation studies, water monitoring, and crop inventories."
"CartoSat 3","CartoSat 3",India,India,"Indian Space Research Organization (ISRO)",Government,"Earth Observation","Optical Imaging",LEO,Sun-Synchronous,0,500,519,0.0013809143106330401,97.5,94.8,1625,,,2019/11/27,5,"Indian Space Research Organization (ISRO)",India,"Satish Dhawan Space Centre",PSLV,2019-081A,44804,"Most advanced earth observation satellite developed by India."
CAS500-1,CAS500-1,"South Korea","South Korea","Korea Aerospace Research Institute (KARI)",Government,"Earth Observation","Multispectral Imaging",LEO,Sun-Synchronous,0,494,509,0.0010914647456887142,97.4,94.6,500,,,2021/03/22,,"Korea Aerospace Research Institute (KARI)","South Korea","Baikonur Cosmodrome",Soyuz-2.1a,2021-022A,47932,"Provide high-resolution color and multispectral imagery of the Earth. "
"Cassiope (CAScade SmallSat and Ionospheric Polar Explorer)",Cassiope,NR,Canada,"Canadian Space Agency",Government,"Earth Science",,LEO,Elliptical,0,325,1486,0.07978833069892104,81,103.11,490,,600,2013/09/29,2,"Canadian Space Agency",Canada,"Vandenberg AFB","Falcon 9",2013-055A,39265,"Study the effect of solar storms on radio communications, satellite navigation and other ground-based technologies."
"CBAS-1 (USA 283, Continuous Broadcast Augmenting SATCOM-1)","USA 283",USA,USA,"US Air Force",Military,Communications,,GEO,,-112,35747,35826,0.0009369848066134522,0,1436.1,,,,2018/04/14,,Unknown,USA,"Cape Canaveral","Atlas 5",2018-036A,43339,"Air Force’s Continuous Broadcast Augmenting SATCOM"
"CBERS 4 (China-Brazil Earth Resources Satellite 4)","CBERS 4",NR,China/Brazil,"China National Space Administration (CNSA)/National Institute for Space Research (Brazil)",Government,"Earth Observation","Optical Imaging",LEO,Sun-Synchronous,0,738,748,0.0007029382820188388,98.55,99.67,1980,,2300,2014/12/07,3,"China Academy of Space Technology (CAST)",China,"Taiyuan Launch Center","Long March 4B",2014-079A,40336,"Carrying a range of Earth observation sensors."
"CBERS 4A (China-Brazil Earth Resources Satellite 4A)","CBERS 4A",Brazil,China/Brazil,"China National Space Administration (CNSA)/National Institute for Space Research (Brazil)",Government,"Earth Observation ","Optical Imaging",LEO,Sun-Synchronous,0,615,635,0.0014295925661186562,97.9,97.2,1980,,2100,2019/12/21,5,"China Academy of Space Technology (CAST)",China,"Taiyuan Launch Center","Long March 4B",2019-093E,44883,"Better resolution; new generation"
"CBNT-1 (Carbonite 1)",CBNT-1,NR,"United Kingdom","Surrey Satellite Technology Ltd.",Commercial,"Technology Development",,LEO,Sun-Synchronous,0,636,658,0.0015676214906655266,98,97.66,91,,,2015/07/10,,"Surrey Satellite Technology Ltd.",UK,"Satish Dhawan Space Centre",PSLV,2015-032D,40718,"Demonstrate earth observation techniques."
"CBNT-2 (Carbonite 2)",CBNT-2,"United Kingdom","United Kingdom","Earth-i/Surrey Satellite Technology Ltd.",Commercial,"Technology Development",,LEO,Sun-Synchronous,0,493,505,0.0008734895909157083,97.5,94.5,,,,2018/01/11,,"Surrey Satellite Technology Ltd.",UK,"Satish Dhawan Space Centre",PSLV,2018-004E,43115,"Pathfinder mission for the Earth-i constellation of high-resolution video and still imaging satellites"
"CELTEE-1 (CubeSat Enhanced Locator Transponder Evaluation Experiment-1)",CELTEE-1,USA,USA,"Air Force Research Laboratory",Military,"Technology Development",,LEO,Sun-Synchronous,0,576,586,0.0007193209610128039,97.98,96.29,3,,,2016/11/11,,"M42 Technologies",USA,"Vandenberg AFB","Atlas 5",2016-067C,41850,
